661-6846,R130352948,"SVC,IPHONE 5,GSM,16GB,BLACK,CI/AR",252
661-6846,R130354877,"SVC,IPHONE 5,GSM,16GB,BLACK,CI/AR",252
661-6846,R130315110,"SVC,IPHONE 5,GSM,16GB,BLACK,CI/AR",252
661-6846,R130365447,"SVC,IPHONE 5,GSM,16GB,BLACK,CI/AR",252
661-6846,R130371440,"SVC,IPHONE 5,GSM,16GB,BLACK,CI/AR",252
661-6846,R130367564,"SVC,IPHONE 5,GSM,16GB,BLACK,CI/AR",252
661-6846,R130372638,"SVC,IPHONE 5,GSM,16GB,BLACK,CI/AR",252
661-6846,R130371491,"SVC,IPHONE 5,GSM,16GB,BLACK,CI/AR",252
661-6847,R130360231,"SVC,IPHONE 5,GSM,16GB,WHITE,CI/AR",252
661-6847,R130358534,"SVC,IPHONE 5,GSM,16GB,WHITE,CI/AR",252
661-6847,R130358099,"SVC,IPHONE 5,GSM,16GB,WHITE,CI/AR",252
661-6847,R130360643,"SVC,IPHONE 5,GSM,16GB,WHITE,CI/AR",252
661-6847,R130358965,"SVC,IPHONE 5,GSM,16GB,WHITE,CI/AR",252
661-6848,R130323501,"SVC,IPHONE 5, DISPLAY,BLACK",252
661-6848,R130364053,"SVC,IPHONE 5, DISPLAY,BLACK",252
661-6848,R130359177,"SVC,IPHONE 5, DISPLAY,BLACK",252
661-6848,R130360878,"SVC,IPHONE 5, DISPLAY,BLACK",252
661-6851,R130349390,"SVC,IPHONE 5, DISPLAY,WHITE",252
661-6851,R130355596,"SVC,IPHONE 5, DISPLAY,WHITE",252
661-6856,R130355561,"SVC,IPHONE 5, BATTERY KIT",252
661-6856,R130364104,"SVC,IPHONE 5, BATTERY KIT",252
661-6856,R130367683,"SVC,IPHONE 5, BATTERY KIT",252
661-6871,R130323486,"SVC,IPHONE 5,GSM,32GB,BLACK,CI/AR",252
661-6871,R130362140,"SVC,IPHONE 5,GSM,32GB,BLACK,CI/AR",252
661-6873,R130362921,"SVC,IPHONE 5,GSM,32GB,WHITE,CI/AR",252
661-6873,R130368634,"SVC,IPHONE 5,GSM,32GB,WHITE,CI/AR",252
661-6874,R129988742,"SVC,IPHONE 5,GSM,64GB,WHITE,CI/AR",252
661-6923,R128969213,"LCD,13.3"",MACBOOK",252
661-6980,R130365372,"IPAD,WIFI,CELLULAR,32GB,4TH GEN,WHT",252
661-6990,R130347393,"IPAD,MINI,WIFI,32GB,BLACK",252
661-6990,R130364277,"IPAD,MINI,WIFI,32GB,BLACK",252
661-6992,R130349351,"IPAD,MINI,WIFI,16GB,WHITE",252
661-6992,R130358265,"IPAD,MINI,WIFI,16GB,WHITE",252
661-6992,R130361949,"IPAD,MINI,WIFI,16GB,WHITE",252
661-7002,R130364064,"IPAD,MINI,WIFI,CELL,64GB,BLACK,MM",252
661-7006,R129548813,"MLB,2.5GHZ,IVB,2C-GT2,8GB,13""MBP RETINA",252
661-7014,R129548813,"LCD,DISPLAY CLAMSHELL,13""MBP RETINA",252
661-7015,R130365223,"ADPTR,POWER,60W,MAGSAFE 2",252
661-7112,R129543012,"SVC,IPOD TOUCH(4TH GEN),CI,16G,BLACK",252
661-7171,R129958566,"LCD,DISPLAY CLAMSHELL,RETINA",252
661-7450,R130344601,"SVC,IPOD TOUCH(5GEN MID13),16GB,CI",252
661-7468,R129953516,"LCD,DISPLAY CLAMSHELL,11.6"",GLSY,MBA",252
661-7571,R130347281,"SVC,IPHONE 5C,GSM,16GB,WHT,CI/AR",252
661-7571,R130358973,"SVC,IPHONE 5C,GSM,16GB,WHT,CI/AR",252
661-7571,R130363239,"SVC,IPHONE 5C,GSM,16GB,WHT,CI/AR",252
661-7571,R130366536,"SVC,IPHONE 5C,GSM,16GB,WHT,CI/AR",252
661-7571,R130373316,"SVC,IPHONE 5C,GSM,16GB,WHT,CI/AR",252
661-7574,R130347885,"SVC,IPHONE 5C,GSM,16GB,GRN,CI/AR",252
